0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,2,1,3,8,10,9,11,4,6,5,7,12,14,13,15
0,4,8,12,1,5,9,13,2,6,10,14,3,7,11,15
0,8,4,12,2,10,6,14,1,9,5,13,3,11,7,15
3,1,2,0,11,9,10,8,7,5,6,4,15,13,14,12
3,2,1,0,7,6,5,4,11,10,9,8,15,14,13,12
3,7,11,15,2,6,10,14,1,5,9,13,0,4,8,12
3,11,7,15,1,9,5,13,2,10,6,14,0,8,4,12
5,1,13,9,4,0,12,8,7,3,15,11,6,2,14,10
5,4,7,6,1,0,3,2,13,12,15,14,9,8,11,10
5,7,4,6,13,15,12,14,1,3,0,2,9,11,8,10
5,13,1,9,7,15,3,11,4,12,0,8,6,14,2,10
6,2,14,10,7,3,15,11,4,0,12,8,5,1,13,9
6,4,7,5,14,12,15,13,2,0,3,1,10,8,11,9
6,7,4,5,2,3,0,1,14,15,12,13,10,11,8,9
6,14,2,10,4,12,0,8,7,15,3,11,5,13,1,9
9,1,13,5,11,3,15,7,8,0,12,4,10,2,14,6
9,8,11,10,13,12,15,14,1,0,3,2,5,4,7,6
9,11,8,10,1,3,0,2,13,15,12,14,5,7,4,6
9,13,1,5,8,12,0,4,11,15,3,7,10,14,2,6
10,2,14,6,8,0,12,4,11,3,15,7,9,1,13,5
10,8,11,9,2,0,3,1,14,12,15,13,6,4,7,5
10,11,8,9,14,15,12,13,2,3,0,1,6,7,4,5
10,14,2,6,11,15,3,7,8,12,0,4,9,13,1,5
12,4,8,0,14,6,10,2,13,5,9,1,15,7,11,3
12,8,4,0,13,9,5,1,14,10,6,2,15,11,7,3
12,13,14,15,8,9,10,11,4,5,6,7,0,1,2,3
12,14,13,15,4,6,5,7,8,10,9,11,0,2,1,3
15,7,11,3,13,5,9,1,14,6,10,2,12,4,8,0
15,11,7,3,14,10,6,2,13,9,5,1,12,8,4,0
15,13,14,12,7,5,6,4,11,9,10,8,3,1,2,0
15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
